               scene_id               |                                                                                                                                                                                                                                                                                                                                                                            result                                                                                                                                                                                                                                                                                                                                                                            
                                      | She turns, rising to her full, terrifying height—muscles rolling beneath a thick, scarred pelt that smells of deep woods and old blood. She gives you one hard, lingering glance over her shoulder, her pale eyes flashing with a mix of lingering suspicion and grudging, unspoken respect. Then, without a sound, she breaks into a heavy, ground-eating trot toward the northern trail, her massive paws sinking deep into the needle-carpeted earth.                                                                                                                                                                                                                                                                                                    +
                                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             +
                                      | Rusty: Rusty watches the Red Talon vanish into the shadowed pines, a dry, wheezing chuckle rattling in his chest as he pushes himself up from his stone with the help of his staff.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         +
                                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             +
                                      | "Don't worry about the fangs, girl," the old elder rasps, leaning his weight into the ash-wood as he turns to follow the trail. "To a Talon, surviving is the only 'thank you' they understand."
 96b616d2-a167-41be-b864-7a941631ec23 | Viccy: Crouching low in the tall, silver-tipped grass of the Umbra, I keep my distance, watching the colossal wolf pace along the ridge of the hill. Every movement he makes is heavy with ancient power, and I whisper a quick, cautious prayer to the Ghost Council to guide our steps.                                                                                                                                                                                                                                                                                                                                                                                                                                                                   +
                                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             +
                                      | Terry: I stay right behind Viccy, keeping my posture low and my hands flat against the dirt to show we aren't here for a fight. My heart's hammering against my ribs, but I force myself to breathe slow and steady so the great spirit doesn't smell fear on me.
 96b616d2-a167-41be-b864-7a941631ec23 | Rusty: Standing near the cold spring, the aging Philodox stares grimly at the fresh, smoking burns across your skin, his cane trembling slightly in his gnarled hand. "By the Silver Unicorn..." he murmurs, his cantankerous edge entirely gone, replaced by a hollow, chilling realization of the danger you faced.                                                                                                                                                                                                                                                                                                                                                                                                                                       +
                                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             +
                                      | Flowers: Pacing into the dim firelight, the fierce Ahroun drops out of wolf form, her broad chest heaving as she sniffs the heavy, chemical-laced ash clinging to your coats. She lets out a low, distressed growl, her usual dismissal of your youth vanishing as she recognizes the unmistakable taint of the Wyrm.                                                                                                                                                                                                                                                                                                                                                                                                                                       +
                                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             +
                                      | Rusty: Looking up from your injuries to meet your eyes, the elder straightens his stooped shoulders, his voice hard with newfound resolve. "We were fools to think this was just a human dispute over dirt and lumber. Go tend to those burns—the real war has just begun."
 96b616d2-a167-41be-b864-7a941631ec23 | Terry: Terry halts abruptly, his hand instinctively catching Viccy’s arm as he drops into a low crouch, his eyes wide and fixed on the towering silver shape ahead. He draws in a shallow, trembling breath, whispering, "There it is... keep your head down, Viccy, just show respect and don't make any sudden moves."
 96b616d2-a167-41be-b864-7a941631ec23 | Legendary Wolf: The massive silver-gray beast shifts its weight, its ethereal coat rippling like moonlight over water. A low, vibrating growl echoes not from its throat, but directly in the minds of the two Garou, carrying the crushing weight of endless winters.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      +
                                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             +
                                      | Legendary Wolf: "You return to the hunt with the scent of burning oil still clinging to your pelts, little pups. Why do you cry to the moon for teeth you do not yet know how to use?"
 b3558085-5104-49c0-a2c9-3ef37de62424 | Legendary Wolf: The colossal spirit lets out a low, resonant sigh that rustles the spectral pines like a bitter wind, its luminous eyes softening from judgment to profound sorrow.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         +
                                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             +
                                      | Legendary Wolf: "A broken branch cannot hold the weight of the sky, little wolf."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           +
                                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             +
                                      | The great beast steps forward, lowering its massive silver head until its cold, damp muzzle presses firmly against Terry’s bowed forehead, transferring a surge of cold clarity and ancient, steady endurance into his racing mind.
 b3558085-5104-49c0-a2c9-3ef37de62424 | Legendary Wolf: The massive spirit watches in solemn silence as the young Garou shifts and unleashes his grief and fury into the spiritual night, its ears flicking back at the raw, jagged sound of the howl.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              +
                                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             +
                                      | Legendary Wolf: "Let the moon drink your tears, young Hispo. That fire you nurse—burn the machine with it, not yourself."
 b3558085-5104-49c0-a2c9-3ef37de62424 | Legendary Wolf: The colossal spirit slowly lowers its massive head, its silver-gray fur catching the pale, ethereal light. Its ancient, luminous eyes shift from the glowing shard on the earth up to meet Terry's amber gaze.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              +
                                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             +
                                      | Legendary Wolf: A low, approving rumble vibrates deep within the spirit's chest, sounding like distant thunder rolling across the ridge. It exhales a breath that smells of clean mountain air and crisp pine, stepping forward to gently press its cold nose against Terry's forehead in silent acknowledgment of his victory.
 b3558085-5104-49c0-a2c9-3ef37de62424 | Terry: He walks a few paces ahead in the dim spiritual haze, the silver light of the Umbra catching the hard, unyielding set of his jaw. He doesn't look back at Viccy right away, his massive Hispo frame moving with a quiet, lethal grace that wasn't there before.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      +
                                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             +
                                      | Terry: He finally pauses, glancing back over his shoulder with amber eyes that burn a little brighter, a little colder than they used to. "The spirits don't care how tired we are, Viccy," he says, his voice flat, low, and devoid of the nervous edge it used to carry. "They only respect what you can force them to give."
(63 rows)

